Time,Signal
5.04,1.754288006
5.06,1.790057007
5.08,1.780901702
5.1,1.889184975
5.12,1.88443422
5.14,1.785152955
5.16,1.762375386
5.18,1.766723102
5.2,1.776966361
5.22,1.868748769
5.24,2.865479454
5.26,1.834147538
5.28,1.65509772
5.3,1.845228121
5.32,1.805969592
5.34,1.886912422
5.36,1.872868669
5.38,1.933007912
5.4,1.941504486
5.42,2.023660823
5.44,2.074552006
5.46,2.171737135
5.48,2.184000369
5.5,2.161345318
5.52,1.95032082
5.54,1.838568745
5.56,1.813502809
5.58,1.822735408
5.6,1.813569906
5.62,1.828765553
5.64,1.809157154
5.66,1.821016706
5.68,1.793252187
5.7,1.800555415
5.72,1.750563153
5.74,1.786258631
5.76,1.767987449
5.78,1.786524164
5.8,1.757009084
5.82,1.805758447
5.84,1.826329817
5.86,1.931200801
5.88,1.726606147
5.9,1.790565365
5.92,1.666858211
5.94,1.83604745
5.96,1.606335537
5.98,2.726314698
6,2.207322779
6.02,1.466142526
