Column1,Column2
0.894230769,1.953125
0.903846154,1.987304688
0.913461538,1.958007813
0.923076923,2.001953125
0.932692308,1.987304688
0.942307692,2.084960938
0.951923077,1.962890625
0.961538462,2.080078125
0.971153846,2.026367188
0.980769231,2.138671875
0.990384615,2.021484375
1,2.153320313
1.009615385,2.075195313
1.019230769,2.158203125
1.028846154,2.109375
1.038461538,2.158203125
1.048076923,2.099609375
1.057692308,2.202148438
1.067307692,2.12890625
1.076923077,2.202148438
1.086538462,2.192382813
1.096153846,2.265625
1.105769231,2.290039063
1.115384615,2.34375
1.125,2.270507813
1.134615385,2.16796875
1.144230769,2.197265625
1.153846154,2.133789063
1.163461538,2.192382813
1.173076923,2.094726563
1.182692308,2.202148438
1.192307692,2.114257813
1.201923077,2.1875
1.211538462,2.133789063
1.221153846,2.163085938
1.230769231,2.504882813
1.240384615,3.247070313
1.25,3.217773438
1.259615385,1.977539063
1.269230769,1.870117188
1.278846154,2.055664063
1.288461538,1.918945313
1.298076923,2.075195313
1.307692308,2.016601563
1.317307692,2.065429688
1.326923077,2.036132813
1.336538462,2.026367188
1.346153846,2.006835938
1.355769231,2.001953125
1.365384615,2.01171875
1.375,2.01171875
1.384615385,2.03125
1.394230769,1.948242188
1.403846154,2.021484375
1.413461538,1.967773438
1.423076923,2.045898438
1.432692308,1.987304688
1.442307692,2.05078125
1.451923077,2.006835938
1.461538462,2.12890625
1.471153846,2.006835938
1.480769231,2.12890625
1.490384615,1.9921875
1.5,2.109375
1.509615385,1.840820313
1.519230769,1.826171875
1.528846154,1.645507813
1.538461538,1.606445313
1.548076923,1.533203125
1.557692308,1.5234375
1.567307692,1.4453125
1.576923077,1.494140625
1.586538462,1.430664063
1.596153846,1.420898438
1.605769231,1.450195313
1.615384615,1.396484375
1.625,1.42578125
1.634615385,1.362304688
1.644230769,1.40625
1.653846154,1.352539063
1.663461538,1.357421875
1.673076923,1.298828125
1.682692308,1.318359375
1.692307692,1.254882813
1.701923077,1.328125
1.711538462,1.254882813
1.721153846,1.328125
1.730769231,1.225585938
1.740384615,1.293945313
1.75,1.2109375
1.759615385,1.26953125
1.769230769,1.201171875
1.778846154,1.240234375
1.788461538,1.206054688
1.798076923,1.274414063
1.807692308,1.196289063
1.817307692,1.26953125
1.826923077,1.2109375
1.836538462,1.245117188
1.846153846,1.245117188
1.855769231,1.245117188
1.865384615,1.235351563
1.875,1.240234375
1.884615385,1.279296875
1.894230769,1.245117188
1.903846154,1.274414063
1.913461538,1.25
1.923076923,1.372070313
1.932692308,1.318359375
1.942307692,1.440429688
1.951923077,1.357421875
1.961538462,1.38671875
1.971153846,1.235351563
1.980769231,1.333007813
1.990384615,1.240234375
2,1.333007813
2.009615385,1.284179688
2.019230769,1.337890625
2.028846154,1.284179688
2.038461538,1.396484375
2.048076923,1.254882813
2.057692308,1.4453125
2.067307692,2.026367188
2.076923077,2.841796875
2.086538462,1.967773438
2.096153846,1.225585938
2.105769231,1.318359375
2.115384615,1.376953125
2.125,1.42578125
2.134615385,1.401367188
2.144230769,1.4453125
2.153846154,1.42578125
2.163461538,1.499023438
2.173076923,1.420898438
2.182692308,1.518554688
2.192307692,1.469726563
2.201923077,1.567382813
2.211538462,1.50390625
2.221153846,1.606445313
2.230769231,1.54296875
2.240384615,1.650390625
2.25,1.58203125
2.259615385,1.71875
2.269230769,1.674804688
2.278846154,1.821289063
2.288461538,1.801757813
2.298076923,1.89453125
2.307692308,1.870117188
2.317307692,1.948242188
2.326923077,1.89453125
2.336538462,1.93359375
2.346153846,1.767578125
2.355769231,1.728515625
2.365384615,1.640625
2.375,1.606445313
2.384615385,1.577148438
2.394230769,1.54296875
2.403846154,1.586914063
2.413461538,1.518554688
2.423076923,1.591796875
2.432692308,1.552734375
2.442307692,1.62109375
2.451923077,1.577148438
2.461538462,1.650390625
2.471153846,1.577148438
2.480769231,1.6796875
2.490384615,1.586914063
2.5,1.674804688
2.509615385,1.6015625
2.519230769,1.669921875
2.528846154,1.586914063
2.538461538,1.689453125
2.548076923,1.611328125
2.557692308,1.708984375
2.567307692,1.630859375
2.576923077,1.708984375
2.586538462,1.665039063
2.596153846,1.723632813
2.605769231,1.6796875
2.615384615,1.69921875
2.625,1.723632813
2.634615385,1.713867188
2.644230769,1.71875
2.653846154,1.708984375
2.663461538,1.752929688
2.673076923,1.708984375
2.682692308,1.762695313
2.692307692,1.704101563
2.701923077,1.767578125
2.711538462,1.689453125
2.721153846,1.850585938
2.730769231,1.767578125
2.740384615,1.987304688
2.75,1.791992188
2.759615385,1.826171875
2.769230769,1.733398438
2.778846154,1.791992188
2.788461538,1.71875
2.798076923,1.806640625
2.807692308,1.728515625
2.817307692,1.787109375
2.826923077,1.767578125
2.836538462,1.801757813
2.846153846,1.767578125
2.855769231,2.055664063
2.865384615,3.022460938
2.875,3.002929688
2.884615385,1.787109375
2.894230769,1.640625
2.903846154,1.801757813
2.913461538,1.723632813
2.923076923,1.845703125
2.932692308,1.81640625
2.942307692,1.89453125
2.951923077,1.831054688
2.961538462,1.904296875
2.971153846,1.840820313
2.980769231,1.953125
2.990384615,1.884765625
3,1.977539063
3.009615385,1.918945313
3.019230769,2.036132813
3.028846154,1.943359375
3.038461538,2.041015625
3.048076923,1.982421875
3.057692308,2.114257813
3.067307692,2.08984375
3.076923077,2.216796875
3.086538462,2.182617188
3.096153846,2.231445313
3.105769231,2.260742188
3.115384615,2.260742188
3.125,2.24609375
3.134615385,2.177734375
3.144230769,2.045898438
3.153846154,1.967773438
3.163461538,1.899414063
3.173076923,1.811523438
3.182692308,1.85546875
3.192307692,1.806640625
3.201923077,1.875
3.211538462,1.767578125
3.221153846,1.865234375
3.230769231,1.796875
3.240384615,1.845703125
3.25,1.787109375
3.259615385,1.879882813
3.269230769,1.806640625
3.278846154,1.826171875
3.288461538,1.801757813
3.298076923,1.8359375
3.307692308,1.791992188
3.317307692,1.81640625
